,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
40,HangSeng,2001-11-08,10538.6201171875,10594.5498046875,10280.8603515625,10295.9599609375,413372800.0,2.617678424801962,10356.2478515625,10176.040559895833,10365.299272652443,10246.62624372164,68.20169514601292,16.848237056427024,-45.06323490484877,158.89240471277873,205.1359637512051,10609.13384156491,9788.58998656009
41,HangSeng,2001-11-09,10609.25,10716.5498046875,10465.669921875,10516.4599609375,403177400.0,0.6702004819142242,10440.8859375,10224.616536458334,10446.616181768295,10291.954213256435,71.48200594267695,42.81283274575799,-27.48802137472742,188.87553368107498,213.09307550312903,10629.380047490633,9777.007745478119
42,HangSeng,2001-11-12,10592.4501953125,10699.5400390625,10541.01953125,10618.0703125,239130600.0,-0.15835054021255038,10473.23203125,10275.723893229168,10495.227519616365,10329.516211013442,71.93569459026537,61.32741380653533,-9.72493433847487,206.7435130439347,229.89547724240862,10678.900866594193,9759.318957624559
43,HangSeng,2001-11-13,10662.83984375,10713.6103515625,10462.01953125,10536.58984375,215009000.0,0.664526593371661,10534.5900390625,10333.410546875,10551.098294327578,10371.181665105512,65.17123287671234,80.7493804525111,8.369928619722325,210.21122818052896,249.1123848344487,10743.947181778272,9747.497642440478
44,HangSeng,2001-11-14,10950.0400390625,10954.740234375,10781.7099609375,10781.7099609375,380540800.0,2.6934681522093924,10670.6400390625,10382.090559895832,10684.078875905885,10443.538961850136,70.4974543130498,117.95635701827632,30.287214299433128,244.60136661429684,293.2187744456168,10872.237451234983,9699.362353452516
45,HangSeng,2001-11-15,11239.3896484375,11280.26953125,10936.7099609375,10958.66015625,755798400.0,2.6424525238518943,10810.7939453125,10448.485872395833,10869.182466749757,10543.020297673556,72.53799795262775,168.84491026617434,57.998753492781375,317.11253663513224,362.3313170330618,11059.391540316125,9610.066272183876
46,HangSeng,2001-11-16,11287.3701171875,11393.490234375,11170.2998046875,11220.1201171875,404935200.0,0.4268956789541525,10946.41796875,10507.327864583332,11008.578350229005,10636.064025112799,83.15283536402062,210.618202651096,88.5226433244443,352.9530927812745,403.7162008607481,11212.499296252747,9597.634492809753
47,HangSeng,2001-11-19,11360.259765625,11396.3603515625,11292.98046875,11292.98046875,288361400.0,0.6457628985383362,11099.9798828125,10586.139192708333,11125.805488694337,10726.588492676823,89.04096408441085,246.76091704282953,120.17029806812135,395.81296408414585,432.6123745529507,11347.012639730901,9616.5631415191
48,HangSeng,2001-11-20,11225.7900390625,11501.0400390625,11148.259765625,11347.3095703125,611346400.0,-1.1836853147442266,11212.569921875,10662.763216145833,11159.133672150392,10788.988685975033,82.42338007354105,261.53883854085143,148.44400616266736,386.13042886989024,431.598316974989,11416.397024574977,9690.003756675022
49,HangSeng,2001-11-21,11173.919921875,11311.7998046875,11149.509765625,11208.2802734375,363374200.0,-0.46206206429130603,11257.3458984375,10736.093229166667,11164.062422058596,10837.10509046253,79.11499199460405,265.9986954540782,171.95494402094954,330.9526779623911,445.321591637105,11491.547577805459,9710.26121125704
50,HangSeng,2001-11-22,11253.2998046875,11261.76953125,11114.5400390625,11162.8203125,270360400.0,0.7104031831935658,11260.1279296875,10809.056575520834,11193.808216268231,10889.129429740651,79.72186624950774,272.79385952265693,192.12272712129104,305.0403893759263,459.67834876656815,11570.753084251886,9732.039689185614
51,HangSeng,2001-11-23,11322.3603515625,11346.330078125,11271.0302734375,11289.33984375,234529600.0,0.6136915222522838,11267.1259765625,10884.8099609375,11236.658928032988,10943.283294968382,77.52352208477477,280.51804753766737,209.8017912045663,276.3350674553087,479.145706485532,11655.56880554919,9738.985979607061
52,HangSeng,2001-11-26,11391.9599609375,11525.259765625,11316.740234375,11380.0,337983000.0,0.6147093646016589,11273.466015625,10948.892643229166,11288.42593900116,10999.367878214522,82.07730204867121,288.92508051908226,225.6264490674695,221.14181900779118,486.73918660067505,11731.449271638849,9784.49252523615
53,HangSeng,2001-11-27,11261.5400390625,11428.490234375,11216.5302734375,11402.0302734375,269437000.0,-1.1448418210931555,11280.616015625,11009.258658854167,11279.46397235494,11032.13939832052,79.89235183512864,281.8153253490327,236.86422432378217,122.67084837847773,471.29412034679143,11759.814656709208,9874.638175322041
54,HangSeng,2001-11-28,11066.1904296875,11225.41015625,11012.4697265625,11225.41015625,362437400.0,-1.7346615888892445,11259.0701171875,11062.352018229167,11208.372791465794,11036.395777241392,66.638516530967,257.4499890651041,240.98137727204656,93.50316574960512,440.12990230139997,11747.097255774675,9986.577646569076
55,HangSeng,2001-11-29,11090.740234375,11120.740234375,10905.0400390625,10974.66015625,350880400.0,0.22184513128962363,11226.558203125,11099.160026041667,11169.161939102196,11043.188834383094,65.6398215513763,237.3848240990319,240.26206663744364,107.58316561165162,409.4950004477736,11732.421983317421,10094.441981526328
